name	ra	dec
RSCVN	197.654	35.935
RSO+H	267.555	-6.708
RWUMA	175.193	51.9981
RXJ0052.1-7319	13.0921	-73.3181
RXJ0059.2-7138	14.803	-71.646
RXJ0101.8-7223	15.468	-72.391
RXJ0146.9+6121	26.751	61.357
RXJ0452.0+4932	73.02	49.546
RXJ0520.5-6932	80.22	-69.579
RXJ0531.2-6607	82.805	-66.118
RXJ1117.1+2014	169.276	20.2353
RXJ1211.9+2242	182.994	22.7089
RXJ1709.5-2639	257.376	-26.657
RXJ1718.4-4029	259.601	-40.493
RXJ1753.6+2848	268.427	28.8014
RXJ1826.2-1450	276.563	-14.848
RXJ1940.2-1025	295.048	-10.424
RXJ2135.9+4728	323.979	47.4731
RXJ2248.6-5109	342.172	-51.165
RZCAS	42.2313	69.6342
RA+IDBURSTER	263.353	-33.388
S41030+61	158.464	60.852
S41250+53	193.297	53.018
S52116+81	318.505	82.08
SAXJ0835.9+5118	128.983	51.31
SAXJ1324.5-6313	201.113	-63.223
SAXJ1711.6-3808	257.9	-38.142
SAXJ1712.6-3739	258.142	-37.643
SAXJ1747.0-2853	266.761	-28.883
SAXJ1750.8-2900	267.602	-29.038
SAXJ1752.3-3138	268.1	-31.628
SAXJ1753.5-2349	268.383	-23.821
SAXJ1806.5-2215	271.642	-22.252
SAXJ1806.8-2435	271.711	-24.591
SAXJ1808.4-3658	272.115	-36.979
SAXJ1810.8-2609	272.685	-26.15
SAXJ1818.6-1703	274.673	-17.059
SAXJ1818.7+1424	274.683	14.403
SAXJ1819.3-2525	274.84	-25.407
SAXJ1828.5-1037	277.141	-10.617
SAXJ2103.5+4545	315.899	45.752
SAXJ2224.9+5421	336.217	54.365
SGR0418+5729	64.606	57.489
SGR0501+4516	75.278	45.2762
SGR1627-41	248.968	-47.587
SGR1801-23	269.488	-22.947
SGR1806-20	272.164	-20.411
SGR1833-0832	278.435	-8.519
SGR1900+14	286.809	9.322
SLX1735-269	264.571	-26.994
SLX1737-282	265.179	-28.302
SLX1744-300	266.856	-30.045
SLX1746-331	267.452	-33.2051
SMCX-1	19.271	-73.443
SMCX-2	13.6508	-73.676
SMCX-3	13.025	-72.433
SN1987A	83.875	-69.267
SN1993J	148.85	69.017
SN2006DD	50.674	-37.204
SN2014J	148.926	69.674
SNR021.5-00.9	278.39	-10.569
SNR0525-66.1	81.504	-66.077
SNR312.4-00.4	212.75	-62.2
SS433	287.956	4.983
SWIFTJ0444.1+2813	71.0375	28.2167
SWIFTJ0513.4-6547	78.368	-65.788
SWIFTJ0515.3+1853	78.832	18.914
SWIFTJ052522.48+241331.8	81.3436	24.2255
SWIFTJ0549.7-6812	87.5273	-68.2486
SWIFTJ0602.2+2829	90.545	28.472
SWIFTJ061223.0+701243	93.096	70.212
SWIFTJ0746.3+2548	116.608	25.817
SWIFTJ0746.6-2725	116.654	-27.424
SWIFTJ0911.9-6452	137.975	-64.881
SWIFTJ1025.8-4107	156.459	-41.117
SWIFTJ1037.8-5652	159.398	-56.803
SWIFTJ1038.8-4942	159.688	-49.7819
SWIFTJ1101.5+7913	165.378	79.217
SWIFTJ1112.2-8238	167.949	-82.646
SWIFTJ1200.8+0650	180.241	6.80642
SWIFTJ1357.2-0933	209.32	-9.544
SWIFTJ1424.1-5738	216.044	-57.636
SWIFTJ1539.2-6227	234.8	-62.467
SWIFTJ1626.6-5156	246.65	-51.941
SWIFTJ1706.6-6146	256.568	-61.711
SWIFTJ1713.4-4219	258.361	-42.327
SWIFTJ1728.9-3613	262.245	-36.2255
SWIFTJ1729.9-3437	262.537	-34.612
SWIFTJ1741.5-6548	265.35	-65.791
SWIFTJ1753.5-0127	268.368	-1.4526
SWIFTJ1753.7-2544	268.416	-25.754
SWIFTJ1756.9-2508	269.239	-25.108
SWIFTJ1808.4-1754	272.11	-17.904
SWIFTJ1816.7-1613	274.178	-16.223
SWIFTJ1821.8-1348	275.479	-13.791
SWIFTJ1822.3-1606	275.575	-16.074
SWIFTJ1836.6+0341	279.164	3.683
SWIFTJ1842.5-1124	280.573	-11.418
SWIFTJ1843.5-0343	280.895	-3.716
SWIFTJ1845.7-0037	281.478	-0.659
SWIFTJ1858.6-0814	284.673	-8.245
SWIFTJ1910.2-0546	287.595	-5.799
SWIFTJ1922.7-1716	290.654	-17.284
SWIFTJ1943.4+0228	295.892	2.465
SWIFTJ195509.6+261406	298.79	26.2352
SWIFTJ2000.6+3210	300.091	32.1898
SWIFTJ2037.2+4151	309.274	41.8348
SWIFTJ2058.4+0516	314.583	5.226
SWIFTJ2243.2-4539	340.843	-45.691
SZPSC	348.349	2.67556
SCOX-1	244.979	-15.64
SCTX-1	279.125	-7.617
SERX-1	279.99	5.036
SGRASTAR	266.417	-29.0078
SIGMAGEM	115.828	28.8836
SWIFTJ0243.6+6124	40.9186	61.4323
SWIFTJ045106.8-694803	72.778	-69.801
SWIFTJ053041.9-665426	82.675	-66.907
SWIFTJ1242.9-3530	190.725	-35.511
SWIFTJ1448.4-5945	222.18	-59.704
SWIFTJ164449.3+573451	251.205	57.581
SWIFTJ1658.2-4242	254.552	-42.6988
SWIFTJ1734.5-3027	263.602	-30.398
SWIFTJ174444.9-295042	266.187	-29.845
SWIFTJ1745.1-2624	266.295	-26.403
SWIFTJ1749.4-2807	267.368	-28.121
SWIFTJ1834.9-0846	278.717	-8.766
SWIFTJ185003.2-005627	282.514	-0.94
TCRB	239.876	25.9202
TPYX	136.173	-32.38
TVCOL	82.356	-32.8179
TXCOL	85.8343	-41.032
TXS0141+268	26.137	27.092
TXS0506+056	77.3582	5.69315
TXS0716+332	109.831	33.119
TXS0820+560	126.197	55.878
TXS1520+319	230.542	31.737
TXS1846+322	282.092	32.31
TXS1920-211	290.884	-21.076
TYPYX	134.928	-27.8164
TZCRB	243.67	33.8586
TRAX-1	232.075	-61.883
UGC2783	53.577	39.3564
UGC4730	135.494	60.1514
UGC6728	176.317	79.682
USCO	245.628	-17.878
UVCET	24.7563	-17.9506
UVPSC	19.2296	6.81167
UXARI	51.6475	28.715
V0332+53	53.75	53.173
V1794CYG	313.473	44.3864
V2400O+H	258.152	-24.246
V2467CYG	307.062	41.8167
V2672O+HIUCHI	264.582	-26.737
V368CE+	349.861	79.0036
V404CYG	306.016	33.868
V405AUR	89.497	53.896
V407CYG	315.541	45.776
V455AND	353.506	39.362
V500AQL	298.116	8.48
V709CAS	7.20362	59.2894
V745SCO	268.843	-33.25
V772HER	271.457	21.4458
V824ARA	259.356	-66.9511
V826CAS	8.76146	61.3173
VERJ0521+211	80.48	21.19
VWCE+	309.34	75.6003
VYARI	42.1821	31.1153
VELAPULSAR	128.833	-45.176
VELAX-1	135.529	-40.555
VIRGOCLUSTER	186.63	12.72
XB1732-304	263.95	-30.483
XB1832-330	278.932	-32.991
XB2127+119	322.493	12.167
XB2129+470	322.859	47.29
XMMSL1J063045.9-603110	97.691	-60.519
XMMSL1J171900.4-353217	259.752	-35.538
XMMUJ054134.7-682550	85.3946	-68.4306
XPER	58.846	31.046
XSSJ05054-2348	76.35	-23.8
XSSJ12270-4859	186.995	-48.8956
XTEJ0055-727	12.298	-72.827
XTEJ0929-314	142.33	-31.39
XTEJ1118+480	169.545	48.037
XTEJ1543-568	236.023	-56.774
XTEJ1550-564	237.757	-56.458
XTEJ1637-498	249.262	-49.86
XTEJ1650-500	252.5	-50.0
XTEJ1652-453	253.085	-45.344
XTEJ1701-407	255.435	-40.858
XTEJ1701-462	255.243	-46.186
XTEJ1704-412	256.005	-41.244
XTEJ1704-445	256.12	-44.54
XTEJ1710-281	257.551	-28.132
XTEJ1716-379	259.119	-37.96
XTEJ1719-291	259.821	-29.069
XTEJ1720-318	259.978	-31.748
XTEJ1723-376	260.9	-37.65
XTEJ1739-285	264.975	-28.496
XTEJ1743-363	265.75	-36.3447
XTEJ1748-288	267.021	-28.474
XTEJ1751-305	267.806	-30.623
XTEJ1752-223	268.063	-22.342
XTEJ1755-324	268.87	-32.478
XTEJ1807-294	271.744	-29.416
XTEJ1810-189	272.586	-19.07
XTEJ1810-197	272.463	-19.731
XTEJ1812-182	273.116	-18.209
XTEJ1817-330	274.431	-33.019
XTEJ1818-245	274.603	-24.538
XTEJ1824-141	276.099	-14.4154
XTEJ1829-098	277.436	-9.855
XTEJ1855-026	283.877	-2.605
XTEJ1856+053	284.163	5.33
XTEJ1858+034	284.687	3.432
XTEJ1859+083	284.77	8.25
XTEJ1859+226	284.673	22.658
XTEJ1901+014	285.421	1.438
XTEJ1906+090	286.198	9.045
XTEJ1908+094	287.221	9.385
XTEJ1946+274	296.414	27.365
XTEJ2012+381	303.158	38.184
XTEJ2123-058	320.81	-5.798
XYARI	44.034	19.443
YYGEM	113.656	31.8694
YYMEN	74.5746	-75.2772
YZCMI	116.167	3.552
ZETAAND	11.8346	24.2672
ETACAR	161.265	-59.684
