Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.21849406 E K534.704821228 25.5218 -5.65515    -2d 53m    32d 14m   24607.0  24575.9  -1236.7  15516.2  29090.5     6.5      -3.7         24.4     26.7     45.0    -21.9      9.0
2015.21849409 E K534.694710913 25.5199 -5.58952    -2d 52m    32d 14m   24610.2  24579.5  -1229.1  15516.3  29093.2     6.5      -3.7         24.4     26.7     45.0    -21.8      9.1
2015.21849413 E K534.684889746 25.5179 -5.52388    -2d 51m    32d 14m   24613.3  24583.0  -1221.5  15516.3  29095.9     6.5      -3.7         24.4     26.7     45.0    -21.7      9.1
2015.21849416 E K534.67424468 25.5158 -5.45825    -2d 50m    32d 13m   24616.5  24586.6  -1213.9  15516.3  29098.6     6.5      -3.7         24.4     26.7     44.9    -21.6      9.1
2015.21849419 E K534.66413192 25.5138 -5.39262    -2d 49m    32d 13m   24619.7  24590.1  -1206.3  15516.3  29101.3     6.4      -3.7         24.4     26.6     44.9    -21.5      9.2
2015.21849422 E K534.653573412 25.5117 -5.32698    -2d 47m    32d 13m   24622.9  24593.7  -1198.8  15516.3  29104.0     6.4      -3.7         24.4     26.6     44.9    -21.4      9.2
2015.21849425 E K534.643782647 25.5095 -5.26137    -2d 46m    32d 13m   24626.1  24597.3  -1191.3  15516.2  29106.7     6.4      -3.7         24.4     26.6     44.9    -21.3      9.3
2015.21849428 E K534.633880394 25.5074 -5.19574    -2d 45m    32d 13m   24629.3  24600.8  -1183.7  15516.3  29109.4     6.4      -3.7         24.4     26.6     44.9    -21.2      9.3
2015.21849432 E K534.623463236 25.5052 -5.13011    -2d 44m    32d 12m   24632.5  24604.4  -1176.2  15516.2  29112.1     6.4      -3.6         24.4     26.5     44.8    -21.1      9.4
2015.21849435 E K534.613291335 25.5029 -5.0645    -2d 43m    32d 12m   24635.7  24607.9  -1168.8  15516.1  29114.7     6.4      -3.6         24.4     26.5     44.8    -21.0      9.4
2015.21849438 E K534.60314788 25.5007 -4.99887    -2d 42m    32d 12m   24638.9  24611.5  -1161.3  15516.1  29117.4     6.4      -3.6         24.3     26.5     44.8    -20.9      9.5
2015.21849441 E K534.592536732 25.4984 -4.93326    -2d 41m    32d 12m   24642.1  24615.1  -1153.8  15516.0  29120.1     6.4      -3.6         24.3     26.5     44.8    -20.8      9.5
2015.21849444 E K534.582527587 25.496 -4.86765    -2d 40m    32d 12m   24645.3  24618.6  -1146.4  15515.8  29122.7     6.4      -3.6         24.3     26.4     44.8    -20.7      9.6
2015.21849447 E K534.572859742 25.4937 -4.80203    -2d 39m    32d 11m   24648.5  24622.2  -1139.0  15515.8  29125.4     6.4      -3.6         24.3     26.4     44.8    -20.6      9.6
2015.21849451 E K534.562533197 25.4913 -4.73643    -2d 38m    32d 11m   24651.7  24625.7  -1131.6  15515.7  29128.0     6.4      -3.6         24.3     26.4     44.7    -20.5      9.6
2015.21849454 E K534.551782849 25.4888 -4.67082    -2d 37m    32d 11m   24654.9  24629.3  -1124.2  15515.5  29130.6     6.4      -3.6         24.3     26.4     44.7    -20.4      9.7
2015.21849457 E K534.541230008 25.4864 -4.60522    -2d 36m    32d 11m   24658.1  24632.8  -1116.8  15515.4  29133.3     6.4      -3.6         24.3     26.3     44.7    -20.3      9.7
