Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.88492951 E K531.126419408 12.836 106.642     0d -50m    12d 42m   31211.0  31207.7   -454.6   7030.8  31993.1    -1.4      10.1          1.2      1.0    -12.6     96.6     22.3
2015.88492954 E K531.116722196 12.8599 106.698     0d -50m    12d 45m   31206.5  31203.1   -456.1   7061.4  31995.4    -1.4      10.1          1.1      0.9    -12.8     96.5     22.4
2015.88492957 E K531.107556618 12.8837 106.753     0d -50m    12d 48m   31202.0  31198.7   -457.6   7091.9  31997.8    -1.4      10.1          1.1      0.9    -12.9     96.4     22.4
2015.8849296 E K531.098729619 12.9076 106.809     0d -51m    12d 52m   31197.5  31194.1   -459.1   7122.5  32000.2    -1.4      10.1          1.1      0.9    -13.0     96.4     22.5
2015.88492963 E K531.089260595 12.9314 106.865     0d -51m    12d 55m   31192.9  31189.5   -460.6   7152.9  32002.5    -1.5      10.1          1.0      0.8    -13.2     96.3     22.5
2015.88492967 E K531.079925138 12.9552 106.921     0d -51m    12d 58m   31188.4  31184.9   -462.2   7183.3  32004.9    -1.5      10.1          1.0      0.8    -13.3     96.3     22.6
2015.8849297 E K531.070435705 12.9791 106.976     0d -51m    13d  2m   31183.8  31180.4   -463.7   7213.8  32007.3    -1.5      10.0          1.0      0.8    -13.5     96.2     22.6
2015.88492973 E K531.060651561 13.0029 107.032     0d -51m    13d  5m   31179.2  31175.7   -465.3   7244.1  32009.7    -1.5      10.0          0.9      0.7    -13.6     96.2     22.7
2015.88492976 E K531.051960614 13.0266 107.088     0d -51m    13d  8m   31174.6  31171.1   -466.9   7274.3  32012.0    -1.5      10.0          0.9      0.7    -13.7     96.1     22.7
2015.88492979 E K531.043179966 13.0504 107.144     0d -52m    13d 11m   31169.9  31166.4   -468.5   7304.6  32014.4    -1.5      10.0          0.9      0.6    -13.9     96.0     22.7
2015.88492982 E K531.034016424 13.0742 107.199     0d -52m    13d 15m   31165.2  31161.7   -470.2   7334.8  32016.8    -1.5      10.0          0.8      0.6    -14.0     96.0     22.8
2015.88492986 E K531.024041715 13.0979 107.255     0d -52m    13d 18m   31160.6  31157.0   -471.8   7365.0  32019.1    -1.6      10.0          0.8      0.6    -14.1     95.9     22.8
