Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.88630124 E K543.797938663 -21.7475 130.702     3d 34m   -53d  6m   23973.4  23927.0   1490.8 -31938.4  39934.8    -3.3       1.5         10.8     12.2    -22.2     15.0     -5.5
2015.88630127 E K543.811712805 -21.7623 130.763     3d 35m   -53d  7m   23967.8  23921.0   1497.0 -31947.7  39938.9    -3.3       1.5         10.7     12.1    -22.1     14.9     -5.5
2015.8863013 E K543.825048944 -21.7771 130.825     3d 36m   -53d  8m   23962.3  23915.1   1503.4 -31957.0  39942.9    -3.3       1.5         10.6     12.0    -22.1     14.8     -5.5
2015.88630134 E K543.838925125 -21.7919 130.887     3d 37m   -53d  9m   23956.7  23909.1   1509.7 -31966.2  39947.0    -3.3       1.5         10.5     11.9    -22.1     14.7     -5.5
2015.88630137 E K543.852080519 -21.8067 130.948     3d 38m   -53d 10m   23951.1  23903.1   1516.0 -31975.5  39951.1    -3.3       1.5         10.4     11.9    -22.0     14.6     -5.4
2015.8863014 E K543.865510964 -21.8214 131.01     3d 39m   -53d 11m   23945.6  23897.2   1522.3 -31984.6  39955.0    -3.3       1.5         10.3     11.8    -22.0     14.5     -5.4
2015.88630143 E K543.879338127 -21.8361 131.071     3d 40m   -53d 12m   23940.0  23891.2   1528.6 -31993.7  39959.0    -3.3       1.4         10.3     11.7    -21.9     14.4     -5.4
2015.88630146 E K543.891992279 -21.8508 131.133     3d 41m   -53d 12m   23934.5  23885.3   1535.0 -32002.8  39963.0    -3.2       1.4         10.2     11.6    -21.9     14.3     -5.4
2015.88630149 E K543.905208428 -21.8655 131.195     3d 42m   -53d 13m   23929.0  23879.3   1541.4 -32011.9  39967.0    -3.2       1.4         10.1     11.5    -21.9     14.2     -5.3
2015.88630153 E K543.919012393 -21.8801 131.256     3d 43m   -53d 14m   23923.5  23873.4   1547.7 -32020.9  39970.9    -3.2       1.4         10.0     11.4    -21.8     14.1     -5.3
2015.88630156 E K543.932378354 -21.8947 131.318     3d 44m   -53d 15m   23918.0  23867.5   1554.1 -32029.8  39974.8    -3.2       1.4          9.9     11.3    -21.8     14.0     -5.3
2015.88630159 E K543.946593261 -21.9093 131.38     3d 45m   -53d 16m   23912.5  23861.5   1560.6 -32038.7  39978.6    -3.2       1.4          9.8     11.2    -21.7     13.9     -5.3
2015.88630162 E K543.959917938 -21.9239 131.441     3d 45m   -53d 17m   23907.0  23855.6   1566.9 -32047.7  39982.5    -3.2       1.4          9.7     11.2    -21.7     13.8     -5.2
2015.88630165 E K543.972378203 -21.9384 131.503     3d 46m   -53d 17m   23901.6  23849.7   1573.3 -32056.5  39986.3    -3.2       1.4          9.6     11.1    -21.7     13.7     -5.2
2015.88630169 E K543.985500183 -21.9529 131.565     3d 47m   -53d 18m   23896.1  23843.8   1579.8 -32065.3  39990.1    -3.2       1.4          9.5     11.0    -21.6     13.6     -5.2
2015.88630172 E K543.998893346 -21.9674 131.627     3d 48m   -53d 19m   23890.7  23837.9   1586.3 -32074.0  39993.8    -3.2       1.3          9.4     10.9    -21.6     13.5     -5.2
2015.88630175 E K544.01175682 -21.9819 131.689     3d 49m   -53d 20m   23885.2  23832.0   1592.7 -32082.8  39997.6    -3.2       1.3          9.3     10.8    -21.5     13.4     -5.1
2015.88630178 E K544.025303967 -21.9963 131.75     3d 50m   -53d 21m   23879.8  23826.2   1599.1 -32091.5  40001.3    -3.2       1.3          9.3     10.7    -21.5     13.3     -5.1
2015.88630181 E K544.03874366 -22.0107 131.812     3d 51m   -53d 22m   23874.4  23820.3   1605.6 -32100.1  40005.0    -3.2       1.3          9.2     10.6    -21.5     13.1     -5.1
