Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.90205378 E K535.658509922 -23.2821 -176.245    14d  5m   -46d  1m   23849.3  23131.8   5806.0 -24713.3  34344.4     2.0       0.7         -8.6    -11.7     11.5     18.8    -19.5
2015.90205381 E K535.670665513 -23.2937 -176.182    14d  6m   -46d  1m   23845.2  23127.1   5807.8 -24709.9  34339.1     2.0       0.7         -8.6    -11.7     11.5     18.8    -19.5
2015.90205384 E K535.683783697 -23.3054 -176.119    14d  6m   -46d  1m   23841.0  23122.3   5809.6 -24706.6  34333.8     2.0       0.7         -8.6    -11.7     11.5     18.9    -19.5
2015.90205387 E K535.697081352 -23.317 -176.055    14d  7m   -46d  1m   23836.8  23117.6   5811.5 -24703.0  34328.3     2.0       0.7         -8.6    -11.7     11.5     18.9    -19.6
2015.9020539 E K535.709771884 -23.3285 -175.992    14d  7m   -46d  1m   23832.7  23112.9   5813.2 -24699.4  34322.9     2.0       0.7         -8.6    -11.7     11.5     19.0    -19.6
2015.90205394 E K535.722450825 -23.34 -175.929    14d  7m   -46d  1m   23828.6  23108.2   5815.0 -24695.9  34317.5     2.0       0.7         -8.6    -11.7     11.5     19.1    -19.7
2015.90205397 E K535.735548457 -23.3516 -175.865    14d  8m   -46d  1m   23824.4  23103.4   5816.8 -24692.3  34312.0     2.0       0.7         -8.6    -11.7     11.5     19.1    -19.7
2015.902054 E K535.748321696 -23.363 -175.802    14d  8m   -46d  2m   23820.3  23098.7   5818.6 -24688.7  34306.5     2.0       0.7         -8.6    -11.7     11.5     19.2    -19.8
2015.90205403 E K535.760683133 -23.3745 -175.739    14d  9m   -46d  2m   23816.2  23094.0   5820.4 -24685.2  34301.2     2.0       0.7         -8.6    -11.7     11.5     19.2    -19.8
2015.90205406 E K535.773698226 -23.3859 -175.676    14d  9m   -46d  2m   23812.1  23089.3   5822.1 -24681.6  34295.7     2.0       0.7         -8.6    -11.7     11.5     19.3    -19.8
2015.9020541 E K535.786297258 -23.3973 -175.612    14d 10m   -46d  2m   23807.9  23084.6   5823.9 -24677.8  34290.1     2.0       0.7         -8.6    -11.7     11.4     19.4    -19.9
2015.90205413 E K535.799476366 -23.4086 -175.549    14d 10m   -46d  2m   23803.8  23080.0   5825.6 -24674.1  34284.6     2.0       0.7         -8.6    -11.7     11.4     19.4    -19.9
2015.90205416 E K535.811956685 -23.42 -175.486    14d 10m   -46d  2m   23799.7  23075.3   5827.3 -24670.5  34279.1     2.0       0.7         -8.6    -11.7     11.4     19.5    -20.0
2015.90205419 E K535.82542115 -23.4313 -175.422    14d 11m   -46d  2m   23795.6  23070.6   5829.1 -24666.6  34273.5     2.0       0.7         -8.5    -11.7     11.4     19.5    -20.0
2015.90205422 E K535.837139463 -23.4425 -175.359    14d 11m   -46d  2m   23791.5  23066.0   5830.8 -24662.8  34267.9     2.0       0.7         -8.5    -11.7     11.4     19.6    -20.0
2015.90205425 E K535.85031997 -23.4538 -175.295    14d 12m   -46d  2m   23787.4  23061.3   5832.5 -24658.9  34262.3     2.0       0.8         -8.5    -11.7     11.4     19.7    -20.1
2015.90205429 E K535.862941121 -23.465 -175.232    14d 12m   -46d  2m   23783.3  23056.6   5834.3 -24655.1  34256.7     2.0       0.8         -8.5    -11.7     11.4     19.7    -20.1
2015.90205432 E K535.875933201 -23.4762 -175.169    14d 12m   -46d  2m   23779.3  23052.0   5836.0 -24651.3  34251.2     2.0       0.8         -8.5    -11.7     11.4     19.8    -20.2
2015.90205435 E K535.88843564 -23.4873 -175.105    14d 13m   -46d  2m   23775.2  23047.4   5837.7 -24647.3  34245.4     2.0       0.8         -8.5    -11.7     11.4     19.8    -20.2
2015.90205438 E K535.901356774 -23.4985 -175.042    14d 13m   -46d  2m   23771.1  23042.7   5839.4 -24643.5  34239.8     2.0       0.8         -8.5    -11.7     11.4     19.9    -20.3
2015.90205441 E K535.914118755 -23.5096 -174.978    14d 14m   -46d  2m   23767.0  23038.1   5841.1 -24639.4  34234.1     2.0       0.8         -8.5    -11.7     11.4     20.0    -20.3
2015.90205444 E K535.926468942 -23.5206 -174.915    14d 14m   -46d  2m   23763.0  23033.5   5842.7 -24635.4  34228.4     2.0       0.8         -8.5    -11.7     11.3     20.0    -20.3
2015.90205448 E K535.939159977 -23.5317 -174.851    14d 14m   -46d  2m   23758.9  23028.9   5844.4 -24631.3  34222.6     2.0       0.8         -8.5    -11.7     11.3     20.1    -20.4
