Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.70342554 E K536.717863637 1.76893 139.667     2d 32m   -12d 44m   29011.7  28983.4   1282.5  -6554.1  29742.8    -4.1      -0.4          7.4      9.0    -34.5     -5.6      8.5
2015.70342557 E K536.729710676 1.74173 139.72     2d 33m   -12d 47m   29006.6  28978.0   1289.8  -6581.7  29744.0    -4.1      -0.5          7.4      8.9    -34.4     -5.7      8.5
2015.7034256 E K536.743172046 1.71452 139.773     2d 34m   -12d 50m   29001.5  28972.5   1297.0  -6609.2  29745.1    -4.1      -0.5          7.4      8.9    -34.3     -5.9      8.5
2015.70342563 E K536.755418601 1.68732 139.825     2d 35m   -12d 54m   28996.5  28967.2   1304.1  -6636.8  29746.4    -4.1      -0.5          7.3      8.9    -34.2     -6.0      8.5
2015.70342566 E K536.767780982 1.66011 139.878     2d 36m   -12d 57m   28991.4  28961.8   1311.4  -6664.3  29747.6    -4.1      -0.5          7.3      8.8    -34.1     -6.1      8.5
2015.7034257 E K536.780763676 1.6329 139.93     2d 36m   -12d 60m   28986.4  28956.4   1318.6  -6691.9  29748.8    -4.1      -0.5          7.2      8.8    -34.0     -6.3      8.4
2015.70342573 E K536.793358458 1.60569 139.983     2d 37m   -13d  3m   28981.3  28951.0   1325.8  -6719.3  29750.1    -4.1      -0.5          7.2      8.7    -33.9     -6.4      8.4
2015.70342576 E K536.806241789 1.57848 140.036     2d 38m   -13d  6m   28976.2  28945.6   1333.1  -6746.7  29751.3    -4.1      -0.5          7.1      8.7    -33.8     -6.5      8.4
2015.70342579 E K536.818409742 1.55127 140.088     2d 39m   -13d 10m   28971.2  28940.2   1340.3  -6774.2  29752.7    -4.0      -0.6          7.1      8.7    -33.7     -6.6      8.4
2015.70342582 E K536.831028838 1.52405 140.141     2d 40m   -13d 13m   28966.1  28934.8   1347.5  -6801.5  29754.0    -4.0      -0.6          7.0      8.6    -33.6     -6.8      8.4
2015.70342585 E K536.843934612 1.49683 140.193     2d 41m   -13d 16m   28961.1  28929.4   1354.7  -6828.9  29755.4    -4.0      -0.6          7.0      8.6    -33.5     -6.9      8.4
2015.70342589 E K536.856458456 1.46962 140.246     2d 42m   -13d 19m   28956.0  28924.0   1362.0  -6856.2  29756.7    -4.0      -0.6          6.9      8.5    -33.4     -7.0      8.4
2015.70342592 E K536.869101491 1.4424 140.298     2d 43m   -13d 22m   28951.0  28918.6   1369.2  -6883.6  29758.1    -4.0      -0.6          6.9      8.5    -33.3     -7.1      8.4
2015.70342595 E K536.88203569 1.41518 140.351     2d 44m   -13d 26m   28945.9  28913.2   1376.5  -6910.8  29759.5    -4.0      -0.6          6.9      8.4    -33.2     -7.3      8.4
2015.70342598 E K536.894587398 1.38796 140.404     2d 44m   -13d 29m   28940.9  28907.8   1383.8  -6938.1  29760.9    -4.0      -0.6          6.8      8.4    -33.1     -7.4      8.3
2015.70342601 E K536.906926532 1.36073 140.456     2d 45m   -13d 32m   28935.8  28902.4   1390.9  -6965.3  29762.4    -4.0      -0.7          6.8      8.4    -33.0     -7.5      8.3
2015.70342604 E K536.918888034 1.33351 140.509     2d 46m   -13d 35m   28930.8  28897.0   1398.2  -6992.5  29763.8    -4.0      -0.7          6.7      8.3    -32.9     -7.6      8.3
