Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.7369843 E K540.216446005 -20.0141 88.7188    -8d 29m   -54d  5m   22349.1  22104.5  -3297.6 -30855.6  38099.2     7.1       4.0         40.9     47.3     39.5     18.9      8.7
2015.73698433 E K540.220813948 -19.9965 88.7789    -8d 27m   -54d  4m   22363.1  22120.3  -3286.2 -30849.6  38102.6     7.1       4.0         41.0     47.3     39.4     19.1      8.6
2015.73698437 E K540.224130233 -19.979 88.839    -8d 25m   -54d  2m   22377.1  22136.2  -3274.8 -30843.7  38106.0     7.0       4.0         41.0     47.3     39.3     19.4      8.4
2015.7369844 E K540.227683695 -19.9614 88.899    -8d 23m   -54d  1m   22391.1  22152.0  -3263.4 -30837.6  38109.3     7.0       4.0         41.1     47.3     39.3     19.6      8.3
2015.73698443 E K540.231468343 -19.9437 88.9591    -8d 21m   -53d 60m   22405.2  22167.9  -3252.0 -30831.4  38112.6     7.0       4.1         41.1     47.3     39.2     19.8      8.1
2015.73698446 E K540.235484181 -19.9261 89.0192    -8d 19m   -53d 58m   22419.2  22183.7  -3240.6 -30825.2  38115.8     7.0       4.1         41.2     47.3     39.2     20.1      8.0
2015.73698449 E K540.239165515 -19.9084 89.0792    -8d 17m   -53d 57m   22433.2  22199.6  -3229.2 -30818.9  38118.9     7.0       4.1         41.2     47.3     39.1     20.3      7.8
2015.73698452 E K540.24156013 -19.8907 89.1392    -8d 14m   -53d 56m   22447.3  22215.5  -3217.8 -30812.5  38122.1     7.0       4.1         41.3     47.4     39.0     20.5      7.7
2015.73698456 E K540.245847199 -19.873 89.1992    -8d 12m   -53d 54m   22461.4  22231.3  -3206.4 -30806.0  38125.1     6.9       4.1         41.3     47.4     39.0     20.8      7.5
2015.73698459 E K540.249162389 -19.8553 89.2592    -8d 10m   -53d 53m   22475.4  22247.2  -3194.9 -30799.5  38128.1     6.9       4.1         41.4     47.4     38.9     21.0      7.4
2015.73698462 E K540.252587189 -19.8375 89.3192    -8d  8m   -53d 51m   22489.6  22263.1  -3183.5 -30792.8  38131.1     6.9       4.1         41.4     47.4     38.9     21.3      7.3
2015.73698465 E K540.25674916 -19.8197 89.3792    -8d  6m   -53d 50m   22503.7  22279.0  -3172.1 -30786.1  38133.9     6.9       4.2         41.4     47.4     38.8     21.5      7.1
2015.73698468 E K540.260190108 -19.8019 89.4391    -8d  4m   -53d 49m   22517.8  22294.9  -3160.7 -30779.2  38136.8     6.9       4.2         41.5     47.4     38.7     21.7      7.0
2015.73698471 E K540.263772656 -19.7841 89.4991    -8d  2m   -53d 47m   22531.9  22310.7  -3149.2 -30772.4  38139.6     6.9       4.2         41.5     47.4     38.7     22.0      6.8
2015.73698475 E K540.266779651 -19.7662 89.559    -7d 60m   -53d 46m   22546.1  22326.6  -3137.8 -30765.4  38142.3     6.8       4.2         41.6     47.4     38.6     22.2      6.7
2015.73698478 E K540.271280662 -19.7484 89.6189    -7d 58m   -53d 44m   22560.2  22342.5  -3126.4 -30758.3  38144.9     6.8       4.2         41.6     47.4     38.5     22.4      6.5
2015.73698481 E K540.274303804 -19.7305 89.6788    -7d 56m   -53d 43m   22574.3  22358.4  -3114.9 -30751.2  38147.6     6.8       4.2         41.7     47.4     38.5     22.7      6.4
2015.73698484 E K540.278532138 -19.7125 89.7386    -7d 54m   -53d 42m   22588.5  22374.3  -3103.5 -30743.9  38150.1     6.8       4.3         41.7     47.4     38.4     22.9      6.2
2015.73698487 E K540.282240788 -19.6946 89.7985    -7d 52m   -53d 40m   22602.7  22390.2  -3092.0 -30736.6  38152.6     6.8       4.3         41.7     47.4     38.3     23.1      6.1
2015.7369849 E K540.286178524 -19.6766 89.8583    -7d 50m   -53d 39m   22616.9  22406.1  -3080.6 -30729.2  38155.0     6.7       4.3         41.8     47.4     38.3     23.4      6.0
2015.73698494 E K540.290112389 -19.6586 89.9182    -7d 48m   -53d 37m   22631.1  22422.0  -3069.1 -30721.7  38157.4     6.7       4.3         41.8     47.5     38.2     23.6      5.8
2015.73698497 E K540.292759526 -19.6406 89.978    -7d 46m   -53d 36m   22645.3  22437.9  -3057.7 -30714.1  38159.7     6.7       4.3         41.9     47.5     38.1     23.8      5.7
2015.736985 E K540.296572149 -19.6226 90.0378    -7d 44m   -53d 34m   22659.5  22453.8  -3046.3 -30706.5  38162.0     6.7       4.3         41.9     47.5     38.1     24.1      5.5
2015.73698503 E K540.299283219 -19.6045 90.0976    -7d 42m   -53d 33m   22673.7  22469.7  -3034.8 -30698.7  38164.3     6.7       4.3         42.0     47.5     38.0     24.3      5.4
2015.73698506 E K540.303249381 -19.5865 90.1574    -7d 39m   -53d 32m   22687.9  22485.6  -3023.4 -30691.0  38166.5     6.7       4.4         42.0     47.5     37.9     24.5      5.2
2015.73698509 E K540.307524387 -19.5683 90.2171    -7d 37m   -53d 30m   22702.2  22501.5  -3011.9 -30683.0  38168.5     6.6       4.4         42.0     47.5     37.8     24.8      5.1
2015.73698513 E K540.310795521 -19.5502 90.2769    -7d 35m   -53d 29m   22716.5  22517.4  -3000.5 -30675.0  38170.6     6.6       4.4         42.1     47.5     37.8     25.0      5.0
2015.73698516 E K540.314634463 -19.5321 90.3366    -7d 33m   -53d 27m   22730.7  22533.3  -2989.0 -30667.0  38172.6     6.6       4.4         42.1     47.5     37.7     25.2      4.8
2015.73698519 E K540.3170911 -19.5139 90.3963    -7d 31m   -53d 26m   22745.0  22549.3  -2977.6 -30658.8  38174.6     6.6       4.4         42.2     47.5     37.6     25.5      4.7
2015.73698522 E K540.32144619 -19.4957 90.456    -7d 29m   -53d 24m   22759.3  22565.2  -2966.1 -30650.6  38176.5     6.6       4.4         42.2     47.5     37.6     25.7      4.5
2015.73698525 E K540.324562336 -19.4775 90.5157    -7d 27m   -53d 23m   22773.6  22581.1  -2954.7 -30642.3  38178.3     6.5       4.4         42.2     47.5     37.5     25.9      4.4
2015.73698528 E K540.328505256 -19.4593 90.5754    -7d 25m   -53d 21m   22787.9  22597.0  -2943.2 -30633.9  38180.1     6.5       4.5         42.3     47.5     37.4     26.2      4.2
2015.73698532 E K540.331830795 -19.441 90.635    -7d 23m   -53d 20m   22802.2  22612.9  -2931.8 -30625.4  38181.8     6.5       4.5         42.3     47.5     37.3     26.4      4.1
2015.73698535 E K540.335602578 -19.4227 90.6947    -7d 21m   -53d 18m   22816.5  22628.9  -2920.3 -30616.8  38183.5     6.5       4.5         42.4     47.5     37.2     26.6      4.0
2015.73698538 E K540.338846594 -19.4044 90.7543    -7d 19m   -53d 17m   22830.8  22644.8  -2908.9 -30608.1  38185.1     6.5       4.5         42.4     47.5     37.2     26.8      3.8
2015.73698541 E K540.342753995 -19.3861 90.8139    -7d 17m   -53d 15m   22845.2  22660.7  -2897.4 -30599.4  38186.7     6.4       4.5         42.4     47.5     37.1     27.1      3.7
2015.73698544 E K540.346181419 -19.3677 90.8735    -7d 15m   -53d 14m   22859.5  22676.6  -2886.0 -30590.6  38188.2     6.4       4.5         42.5     47.5     37.0     27.3      3.5
2015.73698548 E K540.349039242 -19.3494 90.9331    -7d 13m   -53d 12m   22873.9  22692.5  -2874.6 -30581.7  38189.7     6.4       4.5         42.5     47.5     36.9     27.5      3.4
2015.73698551 E K540.35231942 -19.331 90.9927    -7d 11m   -53d 11m   22888.2  22708.5  -2863.1 -30572.7  38191.1     6.4       4.6         42.5     47.5     36.9     27.8      3.3
2015.73698554 E K540.355741178 -19.3126 91.0522    -7d  9m   -53d  9m   22902.6  22724.4  -2851.7 -30563.7  38192.5     6.4       4.6         42.6     47.5     36.8     28.0      3.1
2015.73698557 E K540.359156975 -19.2941 91.1118    -7d  7m   -53d  8m   22917.0  22740.3  -2840.2 -30554.5  38193.8     6.3       4.6         42.6     47.5     36.7     28.2      3.0
2015.7369856 E K540.362833822 -19.2757 91.1713    -7d  5m   -53d  6m   22931.4  22756.2  -2828.8 -30545.3  38195.0     6.3       4.6         42.7     47.5     36.6     28.5      2.9
