Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.73424458 E K536.575696421 -25.0681 44.5621   -20d  2m   -56d 29m   14827.4  13930.0  -5080.2 -22391.7  26855.9    -2.4       0.8         29.4     24.1    -19.8    -33.0     43.8
2015.73424461 E K536.586210646 -25.0736 44.6272   -20d  3m   -56d 29m   14837.3  13937.3  -5088.8 -22407.1  26874.2    -2.4       0.8         29.4     24.1    -19.8    -33.2     44.0
2015.73424464 E K536.597070022 -25.0791 44.6924   -20d  5m   -56d 29m   14847.1  13944.7  -5097.4 -22422.6  26892.6    -2.4       0.8         29.5     24.2    -19.8    -33.4     44.1
2015.73424467 E K536.607814071 -25.0845 44.7575   -20d  6m   -56d 29m   14857.0  13952.0  -5105.9 -22438.1  26911.0    -2.4       0.8         29.5     24.2    -19.7    -33.6     44.3
2015.7342447 E K536.618307764 -25.0899 44.8226   -20d  7m   -56d 29m   14866.8  13959.4  -5114.5 -22453.7  26929.4    -2.3       0.8         29.5     24.2    -19.7    -33.8     44.5
2015.73424473 E K536.629068673 -25.0952 44.8877   -20d  9m   -56d 30m   14876.7  13966.8  -5123.0 -22469.3  26947.8    -2.3       0.7         29.5     24.3    -19.6    -34.0     44.6
2015.73424477 E K536.63995791 -25.1006 44.9528   -20d 10m   -56d 30m   14886.5  13974.1  -5131.5 -22484.9  26966.3    -2.3       0.7         29.5     24.3    -19.6    -34.2     44.8
2015.7342448 E K536.650427208 -25.1058 45.018   -20d 11m   -56d 30m   14896.4  13981.6  -5140.0 -22500.6  26984.8    -2.3       0.7         29.6     24.3    -19.5    -34.3     45.0
2015.73424483 E K536.660546268 -25.1111 45.0831   -20d 12m   -56d 30m   14906.3  13989.0  -5148.5 -22516.3  27003.4    -2.3       0.7         29.6     24.4    -19.5    -34.5     45.1
2015.73424486 E K536.671649882 -25.1163 45.1483   -20d 14m   -56d 30m   14916.2  13996.4  -5156.9 -22532.1  27022.0    -2.3       0.7         29.6     24.4    -19.4    -34.7     45.3
2015.73424489 E K536.681764369 -25.1215 45.2134   -20d 15m   -56d 30m   14926.1  14003.8  -5165.3 -22547.9  27040.6    -2.2       0.7         29.6     24.4    -19.4    -34.9     45.5
2015.73424492 E K536.693050052 -25.1267 45.2786   -20d 16m   -56d 30m   14936.0  14011.2  -5173.8 -22563.8  27059.3    -2.2       0.7         29.6     24.5    -19.3    -35.1     45.6
2015.73424496 E K536.703298855 -25.1318 45.3438   -20d 17m   -56d 30m   14945.9  14018.7  -5182.2 -22579.6  27078.0    -2.2       0.7         29.6     24.5    -19.3    -35.3     45.8
2015.73424499 E K536.714575591 -25.1369 45.4089   -20d 18m   -56d 30m   14955.7  14026.1  -5190.6 -22595.6  27096.7    -2.2       0.7         29.7     24.5    -19.2    -35.5     45.9
2015.73424502 E K536.724863201 -25.142 45.4741   -20d 20m   -56d 30m   14965.6  14033.6  -5198.9 -22611.5  27115.5    -2.2       0.6         29.7     24.5    -19.2    -35.6     46.1
2015.73424505 E K536.734896081 -25.147 45.5393   -20d 21m   -56d 30m   14975.5  14041.0  -5207.3 -22627.5  27134.3    -2.2       0.6         29.7     24.6    -19.1    -35.8     46.3
2015.73424508 E K536.746318006 -25.152 45.6045   -20d 22m   -56d 30m   14985.4  14048.5  -5215.6 -22643.6  27153.2    -2.1       0.6         29.7     24.6    -19.1    -36.0     46.4
2015.73424511 E K536.756154785 -25.157 45.6697   -20d 23m   -56d 30m   14995.3  14056.0  -5223.9 -22659.7  27172.1    -2.1       0.6         29.7     24.6    -19.0    -36.2     46.6
2015.73424515 E K536.767115518 -25.1619 45.7348   -20d 24m   -56d 30m   15005.2  14063.5  -5232.2 -22675.8  27190.9    -2.1       0.6         29.7     24.7    -18.9    -36.4     46.7
2015.73424518 E K536.777016911 -25.1668 45.8001   -20d 26m   -56d 30m   15015.2  14071.0  -5240.5 -22691.9  27209.9    -2.1       0.6         29.7     24.7    -18.9    -36.6     46.9
2015.73424521 E K536.788446751 -25.1717 45.8653   -20d 27m   -56d 31m   15025.1  14078.5  -5248.7 -22708.1  27228.9    -2.1       0.6         29.8     24.7    -18.8    -36.7     47.1
2015.73424524 E K536.798526351 -25.1765 45.9305   -20d 28m   -56d 31m   15035.0  14086.0  -5256.9 -22724.4  27247.9    -2.0       0.6         29.8     24.8    -18.8    -36.9     47.2
