CRAB 83.633 22.015
VELAX-1 135.529 -40.555
CENX-3 170.314 -60.623
GX301-2 186.657 -62.77
SCOX-1 244.98 -15.64
GX340+0 251.449 -45.611
4U1700-377 255.986 -37.844
GX349+2 256.45 -36.417
GRO_J1744-28 266.138 -28.741
GX3+1 266.984 -26.564
GX5-1 270.275 -25.083
GX9+1 270.382 -20.531
GX17+2 274.006 -14.036
H1820-303 275.925 -30.367
GRS1915+105 288.82 10.97
CYGX-1 299.59 35.202
CYGX-3 308.107 40.958
CYGX-2 326.17 38.32
