Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.70273962 E K548.927000746 -24.2641 -54.6231   -13d 53m   -30d 13m   15743.5  15283.6  -3777.2  -9169.0  18218.9    -7.8     -16.0        -59.0    -65.9    -20.7    -63.9    -18.9
2015.70273965 E K548.928789853 -24.2734 -54.5592   -13d 55m   -30d 16m   15735.4  15273.4  -3784.9  -9184.7  18219.8    -7.8     -16.0        -59.1    -65.9    -20.5    -63.9    -18.8
2015.70273969 E K548.930967536 -24.2827 -54.4953   -13d 57m   -30d 20m   15727.4  15263.2  -3792.6  -9200.3  18220.8    -7.8     -16.0        -59.1    -65.9    -20.4    -64.0    -18.7
2015.70273972 E K548.933082008 -24.2919 -54.4313   -13d 59m   -30d 23m   15719.3  15253.0  -3800.3  -9216.0  18221.7    -7.8     -16.1        -59.1    -65.9    -20.3    -64.0    -18.6
2015.70273975 E K548.935089372 -24.3011 -54.3674   -14d  2m   -30d 26m   15711.3  15242.8  -3807.9  -9231.6  18222.7    -7.8     -16.1        -59.1    -65.9    -20.1    -64.1    -18.5
2015.70273978 E K548.936294272 -24.3103 -54.3034   -14d  4m   -30d 30m   15703.2  15232.6  -3815.5  -9247.3  18223.7    -7.8     -16.1        -59.1    -66.0    -20.0    -64.1    -18.4
2015.70273981 E K548.938535343 -24.3195 -54.2395   -14d  6m   -30d 33m   15695.2  15222.4  -3823.1  -9262.9  18224.7    -7.7     -16.1        -59.1    -66.0    -19.9    -64.1    -18.3
2015.70273984 E K548.939930511 -24.3286 -54.1755   -14d  8m   -30d 36m   15687.1  15212.2  -3830.6  -9278.6  18225.8    -7.7     -16.1        -59.1    -66.0    -19.7    -64.2    -18.2
2015.70273988 E K548.941549024 -24.3377 -54.1115   -14d 10m   -30d 40m   15679.1  15202.0  -3838.1  -9294.3  18226.8    -7.7     -16.1        -59.2    -66.0    -19.6    -64.2    -18.1
2015.70273991 E K548.943464912 -24.3468 -54.0475   -14d 12m   -30d 43m   15671.0  15191.8  -3845.6  -9310.0  18227.9    -7.7     -16.1        -59.2    -66.0    -19.5    -64.2    -18.1
2015.70273994 E K548.946034438 -24.3558 -53.9835   -14d 14m   -30d 46m   15663.0  15181.7  -3853.1  -9325.6  18229.0    -7.7     -16.1        -59.2    -66.0    -19.3    -64.3    -18.0
2015.70273997 E K548.947705979 -24.3648 -53.9195   -14d 17m   -30d 49m   15654.9  15171.5  -3860.5  -9341.3  18230.1    -7.7     -16.1        -59.2    -66.0    -19.2    -64.3    -17.9
2015.70274 E K548.949127138 -24.3738 -53.8555   -14d 19m   -30d 53m   15646.9  15161.3  -3867.9  -9357.0  18231.3    -7.6     -16.1        -59.2    -66.0    -19.1    -64.4    -17.8
2015.70274003 E K548.951036709 -24.3827 -53.7915   -14d 21m   -30d 56m   15638.9  15151.1  -3875.3  -9372.7  18232.4    -7.6     -16.2        -59.2    -66.0    -18.9    -64.4    -17.7
2015.70274007 E K548.95323933 -24.3916 -53.7275   -14d 23m   -30d 59m   15630.8  15140.9  -3882.7  -9388.4  18233.6    -7.6     -16.2        -59.2    -66.0    -18.8    -64.4    -17.6
2015.7027401 E K548.955261277 -24.4005 -53.6634   -14d 25m   -31d  3m   15622.8  15130.7  -3890.0  -9404.1  18234.8    -7.6     -16.2        -59.3    -66.0    -18.7    -64.5    -17.5
2015.70274013 E K548.957245825 -24.4094 -53.5993   -14d 27m   -31d  6m   15614.7  15120.5  -3897.3  -9419.9  18236.0    -7.6     -16.2        -59.3    -66.0    -18.5    -64.5    -17.4
2015.70274016 E K548.959053561 -24.4182 -53.5353   -14d 29m   -31d  9m   15606.7  15110.4  -3904.5  -9435.6  18237.3    -7.6     -16.2        -59.3    -66.0    -18.4    -64.5    -17.4
2015.70274019 E K548.960154347 -24.427 -53.4712   -14d 31m   -31d 13m   15598.7  15100.2  -3911.8  -9451.3  18238.6    -7.5     -16.2        -59.3    -66.0    -18.3    -64.6    -17.3
2015.70274023 E K548.962644166 -24.4357 -53.4071   -14d 34m   -31d 16m   15590.6  15090.0  -3919.0  -9467.0  18239.8    -7.5     -16.2        -59.3    -66.0    -18.1    -64.6    -17.2
2015.70274026 E K548.963357326 -24.4444 -53.343   -14d 36m   -31d 19m   15582.6  15079.9  -3926.2  -9482.7  18241.2    -7.5     -16.2        -59.3    -66.0    -18.0    -64.6    -17.1
2015.70274029 E K548.964011608 -24.4531 -53.2789   -14d 38m   -31d 23m   15574.6  15069.7  -3933.4  -9498.5  18242.5    -7.5     -16.2        -59.3    -66.0    -17.9    -64.7    -17.0
2015.70274032 E K548.966175782 -24.4618 -53.2148   -14d 40m   -31d 26m   15566.6  15059.6  -3940.5  -9514.2  18243.8    -7.5     -16.2        -59.4    -66.0    -17.7    -64.7    -16.9
2015.70274035 E K548.967611525 -24.4704 -53.1507   -14d 42m   -31d 29m   15558.5  15049.4  -3947.6  -9529.9  18245.2    -7.5     -16.2        -59.4    -66.0    -17.6    -64.7    -16.8
2015.70274038 E K548.969557628 -24.479 -53.0866   -14d 44m   -31d 33m   15550.5  15039.2  -3954.7  -9545.7  18246.6    -7.4     -16.2        -59.4    -66.0    -17.5    -64.7    -16.7
2015.70274042 E K548.971083797 -24.4876 -53.0224   -14d 46m   -31d 36m   15542.5  15029.1  -3961.7  -9561.4  18248.0    -7.4     -16.3        -59.4    -66.0    -17.3    -64.8    -16.7
2015.70274045 E K548.972194365 -24.4962 -52.9583   -14d 48m   -31d 39m   15534.4  15018.9  -3968.7  -9577.2  18249.4    -7.4     -16.3        -59.4    -66.0    -17.2    -64.8    -16.6
2015.70274048 E K548.973597981 -24.5047 -52.8941   -14d 50m   -31d 43m   15526.4  15008.8  -3975.7  -9593.0  18250.9    -7.4     -16.3        -59.4    -66.0    -17.1    -64.8    -16.5
2015.70274051 E K548.974746885 -24.5131 -52.8299   -14d 52m   -31d 46m   15518.4  14998.6  -3982.7  -9608.7  18252.4    -7.4     -16.3        -59.5    -66.0    -16.9    -64.9    -16.4
2015.70274054 E K548.975314967 -24.5216 -52.7658   -14d 54m   -31d 49m   15510.4  14988.5  -3989.6  -9624.5  18253.8    -7.4     -16.3        -59.5    -66.0    -16.8    -64.9    -16.3
