Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD/dt_min dI/dt_min dH/dt_nT dX/dt_nT dY/dt_nT dZ/dt_nT dF/dt_nT
2015.90136786 E K543.602219364 -15.1686 -3.37737   -13d 42m   -51d 34m   13990.9  13592.7  -3314.0 -17635.3  22511.1     9.2      -9.6        -43.3    -33.2     46.7    -46.3      9.3
2015.9013679 E K543.60123572 -15.1463 -3.32068   -13d 40m   -51d 34m   13999.6  13603.2  -3307.8 -17636.9  22517.7     9.2      -9.6        -43.3    -33.2     46.7    -46.2      9.3
2015.90136793 E K543.600377335 -15.1241 -3.26401   -13d 38m   -51d 33m   14008.3  13613.7  -3301.7 -17638.5  22524.4     9.2      -9.5        -43.2    -33.1     46.7    -46.1      9.2
2015.90136796 E K543.599118423 -15.1018 -3.20734   -13d 36m   -51d 32m   14017.1  13624.2  -3295.5 -17640.0  22531.1     9.2      -9.5        -43.1    -33.0     46.8    -46.0      9.2
2015.90136799 E K543.598887273 -15.0795 -3.15068   -13d 34m   -51d 31m   14026.0  13634.8  -3289.4 -17641.5  22537.8     9.3      -9.5        -43.0    -32.9     46.8    -45.9      9.1
2015.90136802 E K543.598062486 -15.0571 -3.09404   -13d 32m   -51d 30m   14034.9  13645.4  -3283.2 -17643.0  22544.4     9.3      -9.5        -42.9    -32.9     46.9    -45.8      9.1
2015.90136805 E K543.597151683 -15.0348 -3.03741   -13d 30m   -51d 29m   14043.7  13656.1  -3277.0 -17644.4  22551.1     9.3      -9.4        -42.8    -32.8     46.9    -45.7      9.1
2015.90136809 E K543.596244737 -15.0124 -2.9808   -13d 28m   -51d 28m   14052.7  13666.8  -3270.9 -17645.7  22557.7     9.3      -9.4        -42.7    -32.7     46.9    -45.6      9.0
2015.90136812 E K543.59726806 -14.99 -2.92419   -13d 25m   -51d 27m   14061.7  13677.5  -3264.7 -17647.0  22564.3     9.3      -9.4        -42.7    -32.6     47.0    -45.5      9.0
2015.90136815 E K543.595940541 -14.9677 -2.86761   -13d 23m   -51d 26m   14070.7  13688.2  -3258.5 -17648.4  22571.0     9.3      -9.4        -42.6    -32.6     47.0    -45.4      8.9
2015.90136818 E K543.595615007 -14.9452 -2.81104   -13d 21m   -51d 25m   14079.8  13699.0  -3252.3 -17649.6  22577.6     9.3      -9.4        -42.5    -32.5     47.0    -45.2      8.9
2015.90136821 E K543.594534249 -14.9228 -2.75447   -13d 19m   -51d 24m   14088.9  13709.8  -3246.1 -17650.8  22584.2     9.3      -9.3        -42.4    -32.4     47.1    -45.1      8.8
2015.90136824 E K543.593650455 -14.9004 -2.69792   -13d 17m   -51d 23m   14098.0  13720.7  -3239.9 -17652.0  22590.8     9.4      -9.3        -42.3    -32.4     47.1    -45.0      8.8
2015.90136828 E K543.593059242 -14.8779 -2.64139   -13d 15m   -51d 22m   14107.2  13731.6  -3233.7 -17653.1  22597.4     9.4      -9.3        -42.2    -32.3     47.1    -44.9      8.7
2015.90136831 E K543.592374398 -14.8555 -2.58485   -13d 13m   -51d 21m   14116.4  13742.5  -3227.5 -17654.1  22604.0     9.4      -9.3        -42.1    -32.2     47.2    -44.8      8.7
2015.90136834 E K543.592378917 -14.833 -2.52835   -13d 11m   -51d 20m   14125.6  13753.4  -3221.2 -17655.2  22610.6     9.4      -9.2        -42.0    -32.1     47.2    -44.7      8.7
2015.90136837 E K543.591183618 -14.8105 -2.47185   -13d  9m   -51d 19m   14134.9  13764.4  -3215.0 -17656.2  22617.2     9.4      -9.2        -42.0    -32.1     47.2    -44.6      8.6
2015.9013684 E K543.590225491 -14.7879 -2.41536   -13d  7m   -51d 18m   14144.3  13775.5  -3208.8 -17657.1  22623.7     9.4      -9.2        -41.9    -32.0     47.2    -44.5      8.6
2015.90136843 E K543.589083849 -14.7654 -2.35889   -13d  5m   -51d 17m   14153.6  13786.6  -3202.5 -17658.0  22630.3     9.4      -9.2        -41.8    -31.9     47.3    -44.4      8.5
2015.90136847 E K543.588139168 -14.7428 -2.30241   -13d  3m   -51d 16m   14163.1  13797.7  -3196.3 -17658.9  22636.9     9.4      -9.2        -41.7    -31.8     47.3    -44.3      8.5
2015.9013685 E K543.587624767 -14.7203 -2.24597   -13d  0m   -51d 15m   14172.5  13808.8  -3190.0 -17659.7  22643.4     9.5      -9.1        -41.6    -31.8     47.3    -44.2      8.4
2015.90136853 E K543.586950755 -14.6977 -2.18953   -12d 58m   -51d 14m   14182.0  13820.0  -3183.8 -17660.5  22649.9     9.5      -9.1        -41.5    -31.7     47.4    -44.1      8.4
2015.90136856 E K543.58532841 -14.6751 -2.1331   -12d 56m   -51d 13m   14191.5  13831.2  -3177.5 -17661.2  22656.5     9.5      -9.1        -41.4    -31.6     47.4    -44.0      8.3
2015.90136859 E K543.584498644 -14.6525 -2.07669   -12d 54m   -51d 12m   14201.0  13842.4  -3171.3 -17661.9  22663.0     9.5      -9.1        -41.3    -31.6     47.4    -43.9      8.3
2015.90136862 E K543.584146972 -14.6299 -2.02029   -12d 52m   -51d 11m   14210.6  13853.7  -3165.0 -17662.6  22669.5     9.5      -9.0        -41.3    -31.5     47.5    -43.8      8.3
